iter	RMSE
0	0.795900548
1	0.7791953939
2	0.7646867837
3	0.7522450439
4	0.7406763928
5	0.7304385779
6	0.721945361
7	0.7142120131
8	0.7073991691
9	0.700823647
10	0.6941636742
11	0.688661877
12	0.6838467318
13	0.6783548278
14	0.6733170492
15	0.6687975121
16	0.6644079791
17	0.6603490723
18	0.6565985806
19	0.6532528148
20	0.6493945003
21	0.6464452269
22	0.6436018634
23	0.6404908643
24	0.6374312577
25	0.6348895756
26	0.6324314206
27	0.6297282506
28	0.6273419222
29	0.6251653175
30	0.6228240662
31	0.6209651282
32	0.6189792565
33	0.6170666658
34	0.6152137558
35	0.6128678637
36	0.6106739793
37	0.6088923382
38	0.6070421453
39	0.6053332558
40	0.6034675882
41	0.6016619998
42	0.5999000142
43	0.5986782624
44	0.5972162375
45	0.5958161314
46	0.5940295704
47	0.5922238295
48	0.5909421326
49	0.5896969057
