iter	Passed	Remaining
0	9	456
1	12	299
2	15	243
3	18	214
4	22	198
5	25	189
6	28	176
7	31	165
8	35	159
9	38	154
10	42	149
11	45	143
12	48	137
13	51	132
14	54	128
15	59	126
16	62	120
17	65	115
18	68	111
19	71	107
20	75	104
21	79	100
22	83	97
23	86	93
24	90	90
25	94	86
26	98	83
27	101	79
28	106	76
29	109	73
30	113	69
31	116	65
32	119	61
33	123	58
34	127	54
35	130	50
36	133	47
37	136	43
38	140	39
39	144	36
40	147	32
41	151	28
42	156	25
43	160	21
44	164	18
45	167	14
46	171	10
47	175	7
48	178	3
49	181	0
