iter	RMSE
0	0.6704618418
1	0.6611527313
2	0.6524490607
3	0.6455235116
4	0.6388579975
5	0.6337462915
6	0.6290950028
7	0.6245470419
8	0.6205967215
9	0.6166807115
10	0.6126754473
11	0.6093303196
12	0.6068047637
13	0.6036745583
14	0.6007696135
15	0.598524578
16	0.595667633
17	0.5930132481
18	0.5911371534
19	0.5890468529
20	0.5868999946
21	0.5847156179
22	0.5830798407
23	0.5816066751
24	0.5796488471
25	0.5780797519
26	0.5762459129
27	0.5748641946
28	0.5732572389
29	0.5719645967
30	0.5702978949
31	0.569025758
32	0.5678022709
33	0.5666502778
34	0.5650535807
35	0.5635683748
36	0.5620986744
37	0.5608019156
38	0.5597095256
39	0.5584011125
40	0.557257932
41	0.5563321677
42	0.5553733952
43	0.5544105824
44	0.5535852326
45	0.5526667172
46	0.5517673636
47	0.5508863223
48	0.5496354336
49	0.5487908321
