iter	Passed	Remaining
0	59	2918
1	61	1466
2	62	980
3	64	736
4	65	591
5	67	492
6	68	421
7	70	371
8	72	329
9	73	295
10	75	267
11	77	245
12	78	224
13	80	207
14	82	192
15	83	178
16	87	169
17	89	158
18	91	148
19	92	139
20	94	129
21	95	121
22	96	113
23	98	106
24	99	99
25	101	93
26	103	87
27	104	82
28	105	76
29	107	71
30	108	66
31	109	61
32	111	57
33	112	53
34	114	49
35	115	45
36	117	41
37	119	37
38	120	34
39	122	30
40	123	27
41	125	23
42	126	20
43	127	17
44	129	14
45	130	11
46	131	8
47	133	5
48	134	2
49	136	0
